t,value
1507840562,954728447
1507840563,954728447
1507840564,954728447
1507840565,954728447
1507840566,954728447
1507840567,954728447
1507840568,954728447
1507840569,954728447
1507840570,954728447
1507840571,954728447
1507840572,954728447
1507840573,954728447
1507840574,954728447
1507840575,954728447
1507840576,954728447
1507840577,954728447
1507840578,954728447
1507840579,954728447
1507840580,954728447
1507840581,954728447
1507840582,954728447
1507840583,954728447
1507840584,954728447
1507840585,954728447
1507840586,954728447
